month_5y,ridership_5y
1,45.027000
2,41.682000
3,50.982000
4,42.045000
5,41.505000
6,49.881000
7,39.247000
8,38.275000
9,52.277000
10,42.918000
11,44.175000
12,45.991000
13,43.490000
14,40.371000
15,50.867000
16,42.816000
17,41.308000
18,51.285000
19,41.274000
20,37.974000
21,52.481000
22,43.064000
23,44.112000
24,49.037000
25,39.606000
26,40.966000
27,51.768000
28,41.978000
29,40.598000
30,52.528000
31,40.182000
32,38.144000
33,52.473000
34,42.279000
35,43.080000
36,49.614000
37,47.565000
38,41.112000
39,50.732000
40,41.302000
41,39.941000
42,50.966000
43,39.054000
44,37.217000
45,41.986000
46,40.934000
47,52.207000
48,38.388000
49,45.792000
50,39.421000
51,51.989000
52,39.413000
53,39.989000
54,51.209000
55,39.758000
56,38.453000
57,53.236000
58,41.624000
59,43.707000
60,40.879000
